Item,RiskScore,Vol_5y,Exposure,SupplyRisk
Yams,0.03197649396963452,2.785843284082933,1,3.2085654240553767
Yams,0.03179597813675534,2.7614052725057348,1,3.2085654240553767
Cantaloupes and other melons,0.030559092921979523,2.325831175598967,1,3.7573672846206057
String beans,0.02681298371398276,2.2807442897920187,1,2.8116271256949488
"Broad beans and horse beans, green",0.025350668824795603,2.641697278266244,1,1.6676280904836653
Asparagus,0.02519127169675884,2.1699147095179576,1,2.589107073956221
String beans,0.023744224590136566,1.865299451519135,1,2.8116271256949488
Asparagus,0.023587138499928342,1.9527491290242531,1,2.589107073956221
"Broad beans and horse beans, green",0.023458466257570372,2.3855332204840987,1,1.6676280904836653
String beans,0.023046870639885107,1.7708925308749148,1,2.8116271256949488
"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",0.02186955438084851,2.0948621845551774,1,1.8222971668658094
Asparagus,0.021821440281618573,1.7137110745076007,1,2.589107073956221
"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",0.02157517645082043,2.0550096622176337,1,1.8222971668658094
"Broad beans and horse beans, green",0.021458925916694974,2.1148379068376038,1,1.6676280904836653
"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",0.018924163228289666,1.696118750599518,1,1.8222971668658094
"Peas, green",0.017778542470154948,1.6106831329255324,1,1.6797226343525327
Green garlic,0.01699190423455149,1.532368399206623,1,1.622044928206767
Green garlic,0.016380690079798553,1.4496229781997183,1,1.622044928206767
"Peas, green",0.016317614426328307,1.4129044900272962,1,1.6797226343525327
"Peas, green",0.015240709743970165,1.267114457788841,1,1.6797226343525327
Green garlic,0.014779251159765978,1.232822145587292,1,1.622044928206767
Mushrooms and truffles,0.0,0.0134287129739939,1,0.022664420791012368
